@RELATION stories
@ATTRIBUTE total_characters  NUMERIC
@ATTRIBUTE main_characters   NUMERIC
@ATTRIBUTE secondary_characters  NUMERIC
@ATTRIBUTE ratio_characters   NUMERIC
@ATTRIBUTE length   NUMERIC
@ATTRIBUTE total_facts   NUMERIC
@ATTRIBUTE ratio_characters_facts   NUMERIC
@ATTRIBUTE evolution   NUMERIC
@ATTRIBUTE main_character_actions   NUMERIC
@ATTRIBUTE total_actions   NUMERIC
@ATTRIBUTE ratio_actions   NUMERIC
@ATTRIBUTE love_level   NUMERIC
@ATTRIBUTE hate_level   NUMERIC
@ATTRIBUTE drama_level   NUMERIC
@ATTRIBUTE fun_level   NUMERIC
@ATTRIBUTE plausibility   NUMERIC
@ATTRIBUTE has_date   NUMERIC
@ATTRIBUTE has_time   NUMERIC
@ATTRIBUTE has_weather   NUMERIC
@DATA
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,15,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,0
